h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
401091012001018,36,10,22,4,7,19,10,0,2,0,2,1,0,3,1,3,3,1,1,0,3,2,7,0,5,1,1,28,7,0,0,0,1,33,3,6,9,4,7,15,21
401091012002000,11,3,6,2,2,4,5,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,3,0,1,0,2,10,0,1,0,0,0,11,0,0,3,3,2,5,6
401091012002001,25,9,13,3,2,14,9,0,1,1,3,1,3,3,1,0,0,0,0,0,2,1,4,0,4,0,1,20,2,0,1,0,2,21,4,2,3,7,4,18,7
401091012002002,52,15,26,11,11,24,17,0,1,0,0,4,1,8,4,1,1,1,4,1,5,3,5,1,11,1,0,38,7,1,4,0,2,47,5,10,10,9,8,27,25
401091012002003,19,7,10,2,7,5,7,0,0,0,1,0,1,0,0,1,0,0,3,1,1,2,2,0,2,3,2,18,0,0,0,0,1,19,0,5,1,3,3,14,5
401091012002004,32,11,13,8,5,15,12,0,0,0,0,2,1,6,1,0,1,2,1,1,2,1,4,0,7,1,2,24,3,1,2,1,1,24,8,2,7,5,7,18,14
401091012002005,51,11,26,14,14,13,24,0,1,3,2,4,1,3,2,1,3,0,2,1,4,4,6,0,7,1,6,45,0,1,5,0,0,43,8,6,8,11,15,22,29
401091012002006,45,14,23,8,14,15,16,0,2,0,0,1,1,2,3,1,3,0,5,3,2,5,4,0,8,0,5,34,6,4,1,0,0,45,0,1,12,9,9,26,19
401091012002007,27,9,15,3,11,10,6,0,1,0,1,2,2,5,0,1,0,0,2,0,3,0,4,0,3,0,3,19,1,5,1,0,1,20,7,2,7,5,4,14,13
401091012002008,57,20,30,7,17,21,19,1,1,0,2,6,1,4,2,1,3,0,4,2,5,6,7,1,7,2,2,43,10,3,0,0,1,51,6,5,11,12,9,30,27
401091012002009,64,22,36,6,13,27,24,0,0,1,1,2,5,1,1,1,1,1,5,3,2,7,9,1,13,4,6,45,7,5,5,0,2,57,7,6,14,11,11,29,35
401091012002010,40,8,24,8,9,21,10,0,0,0,2,2,1,1,2,2,3,0,1,0,2,2,8,1,5,3,5,30,8,0,1,0,1,40,0,3,13,11,5,17,23
401091012002011,52,16,27,9,20,20,12,0,2,0,1,3,1,5,1,0,2,0,4,1,3,6,7,2,10,0,4,40,9,1,2,0,0,50,2,4,14,11,7,27,25
401091012002012,18,6,7,5,5,9,4,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,2,0,2,2,3,16,2,0,0,0,0,17,1,2,2,3,5,8,10
401091012002013,16,5,10,1,4,5,7,0,1,0,0,0,0,0,0,0,0,0,3,0,2,2,1,0,3,0,4,12,2,1,0,0,1,16,0,2,3,3,3,5,11
401091013001000,39,3,25,11,12,20,7,0,1,0,0,2,1,3,1,1,1,0,2,0,8,6,9,1,2,0,1,5,33,0,0,0,1,38,1,6,14,13,3,12,27
401091013001001,15,1,10,4,5,7,3,0,1,0,0,1,1,0,0,0,0,0,0,1,3,1,5,0,2,0,0,4,11,0,0,0,0,15,0,2,2,6,4,8,7
401091013001003,14,2,6,6,7,6,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,2,4,0,2,0,0,1,11,1,1,0,0,13,1,2,4,5,1,6,8
401091013001004,26,10,12,4,11,13,2,0,0,0,1,1,0,2,1,0,2,0,1,1,4,5,1,0,4,3,0,2,23,1,0,0,0,25,1,3,5,7,1,13,13
401091013001005,10,0,9,1,4,4,2,0,0,0,0,1,0,0,0,0,2,1,0,0,3,1,1,1,0,0,0,0,10,0,0,0,0,10,0,2,3,4,1,5,5
401091013001006,2,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,1
401091013001007,11,5,3,3,4,4,3,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,2,0,2,0,11,0,0,0,0,11,0,0,2,3,1,5,6
401091013001008,21,5,12,4,6,10,5,0,1,0,1,1,2,1,0,0,0,1,0,1,0,0,8,0,2,0,3,3,18,0,0,0,0,21,0,4,4,6,2,4,17
401091013001009,29,4,20,5,15,9,5,0,0,0,0,2,2,2,1,0,1,0,0,1,5,0,8,0,3,0,4,6,20,0,1,1,1,29,0,9,8,7,1,14,15
401091013001010,8,1,6,1,3,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,7,0,0,0,1,8,0,3,4,0,0,5,3
401091013001011,8,1,5,2,4,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,3,0,0,0,8,0,0,0,0,8,0,1,3,3,0,2,6
401091013001012,6,2,3,1,2,3,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,5,1,1,0,1,2,5,1
401091013001013,6,0,4,2,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,6,0,0,0,0,6,0,1,3,2,0,4,2
401091013002003,5,2,1,2,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,0,0,5,0,0,3,0,0,4,1
401091013002004,79,12,52,15,19,47,13,0,3,2,2,6,2,8,2,1,7,0,2,0,7,9,13,0,9,0,6,18,56,0,1,0,4,77,2,6,25,26,10,39,40
401091013002005,24,6,11,7,6,15,3,0,0,0,1,3,0,4,2,0,2,0,0,0,3,2,4,0,3,0,0,11,8,0,5,0,0,24,0,1,7,8,2,14,10
401091013002006,56,14,36,6,26,22,8,0,0,0,2,4,2,11,3,1,2,1,0,1,5,4,11,0,8,1,0,12,39,0,0,0,5,56,0,7,10,18,7,23,33
401091013002007,10,2,7,1,5,2,3,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,3,1,0,0,10,0,0,0,0,10,0,2,1,2,3,5,5
401091013002008,9,4,1,4,4,3,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,1,0,1,0,1,0,9,0,0,0,0,9,0,0,2,2,1,4,5
401091013002009,26,5,15,6,15,10,1,0,0,0,0,1,4,4,0,0,0,0,1,0,2,0,8,0,5,1,0,3,23,0,0,0,0,26,0,3,6,10,2,6,20
401091013002010,8,1,7,0,2,5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,2,5,1,0,0,0,8,0,0,1,5,1,4,4
401091013002011,5,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,2,0,0,0,0,5,0,0,0,3,1,1,4
401091013002012,12,3,6,3,3,5,4,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,3,0,2,0,1,0,12,0,0,0,0,12,0,2,3,2,2,7,5
401091013003000,16,1,13,2,9,6,1,0,0,0,2,0,0,1,0,1,1,0,0,0,4,0,4,0,3,0,0,1,13,1,0,0,1,14,2,2,5,8,0,6,10
401091013003001,9,3,4,2,6,2,1,0,0,0,0,1,0,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,0,0,0,8,1,1,2,3,0,5,4
401091013003002,7,0,3,4,4,3,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,6,1,4,1,2,0,2,5
401091013003003,56,15,34,7,19,31,6,0,0,1,4,2,0,7,1,0,2,0,0,0,8,4,13,0,7,3,4,14,40,0,0,0,2,55,1,3,10,26,2,23,33
401091013003004,14,2,8,4,8,5,1,0,0,0,1,0,0,0,0,0,2,0,1,0,3,1,4,0,1,0,1,1,12,1,0,0,0,14,0,2,2,5,3,5,9
401091013003005,4,0,3,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,4,0,1,1,1,1,1,3
401091013003006,6,1,5,0,1,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,6,0,0,3,1,1,2,4
401091013003007,4,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,3,0,0,0,0,4,0,1,0,2,1,2,2
401091013003008,12,3,6,3,2,7,3,0,1,0,1,1,1,3,0,1,0,0,0,0,1,1,2,0,0,0,0,1,9,0,0,0,2,11,1,1,1,6,1,3,9
401091013003009,21,5,10,6,5,12,4,0,0,0,1,0,1,2,1,0,0,0,1,0,2,2,5,1,1,2,2,4,17,0,0,0,0,21,0,4,3,5,4,8,13
401091013003011,6,0,5,1,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2,4,0,0,0,0,5,1,1,2,1,2,2,4
401091013003012,4,2,2,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,3,1,1,0,1,0,3,1
401091013003013,4,3,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,4,0,1,0,0,0,1,3
401091013004000,29,11,11,7,8,18,3,0,1,0,1,2,2,1,1,1,2,2,2,0,1,2,4,0,5,1,1,9,20,0,0,0,0,27,2,0,5,9,4,10,19
401091013004001,4,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4,0,0,0,0,4,0,1,1,2,0,2,2
401091013004002,10,2,6,2,2,8,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,3,0,2,0,0,1,5,0,4,0,0,10,0,2,4,2,0,2,8
401091013004003,8,1,5,2,3,5,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,2,0,0,2,4,0,0,0,2,7,1,1,2,2,2,2,6
401091013004004,25,7,13,5,12,10,3,0,0,1,0,1,2,3,1,1,0,0,1,0,2,1,4,0,6,1,1,8,16,0,0,0,1,24,1,6,2,7,3,11,14
401091013004005,13,3,9,1,5,7,1,0,0,0,0,1,1,2,0,0,0,1,0,0,1,3,0,1,1,2,0,2,11,0,0,0,0,12,1,5,1,2,2,4,9
401091013004006,12,3,8,1,4,8,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,3,0,3,0,1,0,10,2,0,0,0,12,0,3,2,1,3,2,10
401091013004007,12,6,6,0,6,6,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1,1,1,0,3,0,0,7,4,1,0,0,0,11,1,1,2,3,0,2,10
401091013004008,13,3,7,3,4,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,1,1,0,0,1,5,6,0,0,0,2,12,1,0,4,4,2,3,10
401091013004009,11,3,6,2,6,4,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,0,1,0,1,0,0,1,7,0,0,0,3,9,2,0,1,7,0,8,3
401091013004010,13,5,5,3,3,7,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,2,3,0,0,4,9,0,0,0,0,13,0,2,4,2,0,2,11
401091013004011,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,1,1,1
401091013005000,14,5,4,5,6,6,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,4,0,1,0,2,3,11,0,0,0,0,13,1,1,1,4,3,3,11
401091013005001,5,3,2,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,1,5,0,1,0,1,0,1,4
